,temperature,windspeed
2010-05-01 00:00:00,487.0,75.0
2010-05-01 00:05:00,486.3026114801076,74.59735261876388
2010-05-01 00:10:00,485.61080875171075,74.20730779169189
2010-05-01 00:15:00,484.9245918148094,73.82986551878405
2010-05-01 00:20:00,484.2439606694038,73.46502580004038
2010-05-01 00:25:00,483.5689153154937,73.11278863546082
2010-05-01 00:30:00,482.8994557530792,72.7731540250454
2010-05-01 00:35:00,482.2355819821604,72.44612196879415
2010-05-01 00:40:00,481.5772940027372,72.13169246670705
2010-05-01 00:45:00,480.92459181480945,71.82986551878406
2010-05-01 00:50:00,480.2774754183774,71.54064112502525
2010-05-01 00:55:00,479.6359448134409,71.26401928543054
2010-05-01 01:00:00,479.0,71.0
2010-05-01 01:05:00,478.36964097805475,70.7485832687336
2010-05-01 01:10:00,477.744867747605,70.50976909163136
2010-05-01 01:15:00,477.1256803086509,70.28355746869323
2010-05-01 01:20:00,476.5120786611924,70.06994839991927
2010-05-01 01:25:00,475.9040628052295,69.86894188530945
2010-05-01 01:30:00,475.3016327407622,69.68053792486378
2010-05-01 01:35:00,474.7102230795859,69.50988185748123
2010-05-01 01:40:00,474.1352684334959,69.36211902206078
2010-05-01 01:45:00,473.5767688024924,69.23724941860243
2010-05-01 01:50:00,473.0347241865752,69.1352730471062
2010-05-01 01:55:00,472.50913458574445,69.05618990757205
2010-05-01 02:00:00,472.0,69.0
2010-05-01 02:05:00,471.50732042934203,68.96670332439007
2010-05-01 02:10:00,471.03109587377037,68.95629988074225
2010-05-01 02:15:00,470.571326333285,68.96878966905652
2010-05-01 02:20:00,470.12801180788625,69.0041726893329
2010-05-01 02:25:00,469.7011522975737,69.06244894157139
2010-05-01 02:30:00,469.2907478023476,69.14361842577196
2010-05-01 02:35:00,468.8919684292133,69.21680910854077
2010-05-01 02:40:00,468.49998428517625,69.25114895648395
2010-05-01 02:45:00,468.1147953702363,69.24663796960144
2010-05-01 02:50:00,467.7364016843937,69.20327614789328
2010-05-01 02:55:00,467.3648032276482,69.12106349135948
2010-05-01 03:00:00,467.0,69.0
2010-05-01 03:05:00,466.641992001449,68.8400856738149
2010-05-01 03:10:00,466.2907792319953,68.64132051280411
2010-05-01 03:15:00,465.9463616916387,68.40370451696768
2010-05-01 03:20:00,465.60873938037935,68.1272376863056
2010-05-01 03:25:00,465.2779122982172,67.81192002081787
2010-05-01 03:30:00,464.9538804451522,67.45775152050447
2010-05-01 03:35:00,464.6324107895789,67.10593015794083
2010-05-01 03:40:00,464.3092702998914,66.79765390570235
2010-05-01 03:45:00,463.9844589760897,66.53292276378902
2010-05-01 03:50:00,463.65797681817395,66.31173673220086
2010-05-01 03:55:00,463.329823826144,66.13409581093785
2010-05-01 04:00:00,463.0,66.0
2010-05-01 04:05:00,462.6685053397418,65.9094492993873
2010-05-01 04:10:00,462.3353398453695,65.86244370909978
2010-05-01 04:15:00,462.000503516883,65.85898322913741
2010-05-01 04:20:00,461.6639963542824,65.8990678595002
2010-05-01 04:25:00,461.32581835756764,65.98269760018815
2010-05-01 04:30:00,460.9859695267388,66.10987245120126
2010-05-01 04:35:00,460.67467794442445,66.2587210549254
2010-05-01 04:40:00,460.4221716932533,66.40737205374647
2010-05-01 04:45:00,460.2284507732251,66.55582544766446
2010-05-01 04:50:00,460.0935151843403,66.70408123667939
2010-05-01 04:55:00,460.0173649265986,66.85213942079122
2010-05-01 05:00:00,460.0,67.0
2010-05-01 05:05:00,460.0414204045445,67.14766297430569
2010-05-01 05:10:00,460.14162614023235,67.29512834370831
2010-05-01 05:15:00,460.30061720706317,67.44239610820783
2010-05-01 05:20:00,460.5183936050373,67.58946626780431
2010-05-01 05:25:00,460.79495533415445,67.73633882249769
2010-05-01 05:30:00,461.1303023944148,67.883013772288
2010-05-01 05:35:00,461.5417437660966,68.03618795695121
2010-05-01 05:40:00,462.04658842947805,68.20255821626324
2010-05-01 05:45:00,462.644836384559,68.38212455022416
2010-05-01 05:50:00,463.33648763133976,68.57488695883393
2010-05-01 05:55:00,464.12154216982003,68.78084544209253
2010-05-01 06:00:00,465.0,69.0
2010-05-01 06:05:00,465.97186112187956,69.23235063255632
2010-05-01 06:10:00,467.03712553545887,69.4778973397615
2010-05-01 06:15:00,468.19579324073777,69.73664012161552
2010-05-01 06:20:00,469.4478642377163,70.00857897811841
2010-05-01 06:25:00,470.79333852639445,70.29371390927015
2010-05-01 06:30:00,472.2322161067722,70.59204491507073
2010-05-01 06:35:00,473.7137483478849,70.9130400922563
2010-05-01 06:40:00,475.1871866187678,71.26616753756291
2010-05-01 06:45:00,476.65253091942066,71.65142725099058
2010-05-01 06:50:00,478.10978124984376,72.06881923253933
2010-05-01 06:55:00,479.5589376100368,72.51834348220915
2010-05-01 07:00:00,481.0,73.0
2010-05-01 07:05:00,482.43296841973347,73.51378878591196
2010-05-01 07:10:00,483.857842869237,74.05970983994497
2010-05-01 07:15:00,485.27462334851054,74.63776316209905
2010-05-01 07:20:00,486.6833098575544,75.24794875237419
2010-05-01 07:25:00,488.0839023963682,75.8902666107704
2010-05-01 07:30:00,489.4764009649521,76.56471673728765
2010-05-01 07:35:00,490.87021059103876,77.23557148951117
2010-05-01 07:40:00,492.2747363023606,77.86710322502611
2010-05-01 07:45:00,493.6899780989176,78.45931194383245
2010-05-01 07:50:00,495.11593598070993,79.01219764593023
2010-05-01 07:55:00,496.55260994773744,79.5257603313194
2010-05-01 08:00:00,498.0,80.0
2010-05-01 08:05:00,499.45810613749796,80.43491665197203
