time,value
2010-05-09 21:00:00,528
2010-05-09 22:00:00,518
2010-05-09 23:00:00,508
2010-05-10 00:00:00,500
2010-05-10 01:00:00,492
2010-05-10 02:00:00,486
2010-05-10 03:00:00,480
2010-05-10 04:00:00,475
2010-05-10 05:00:00,473
2010-05-10 06:00:00,481
2010-05-10 07:00:00,496
2010-05-10 08:00:00,513
2010-05-10 09:00:00,531
2010-05-10 10:00:00,550
2010-05-10 11:00:00,567
2010-05-10 12:00:00,581
2010-05-10 13:00:00,595
2010-05-10 14:00:00,603
2010-05-10 15:00:00,608
2010-05-10 16:00:00,608
2010-05-10 17:00:00,602
2010-05-10 18:00:00,588
2010-05-10 19:00:00,567
2010-05-10 20:00:00,544
2010-05-10 21:00:00,531
2010-05-10 22:00:00,521
2010-05-10 23:00:00,511
2010-05-11 00:00:00,502
2010-05-11 01:00:00,494
2010-05-11 02:00:00,488
2010-05-11 03:00:00,482
2010-05-11 04:00:00,477
2010-05-11 05:00:00,475
2010-05-11 06:00:00,483
2010-05-11 07:00:00,498
2010-05-11 08:00:00,515
2010-05-11 09:00:00,533
2010-05-11 10:00:00,552
2010-05-11 11:00:00,569
2010-05-11 12:00:00,584
2010-05-11 13:00:00,597
2010-05-11 14:00:00,605
2010-05-11 15:00:00,610
2010-05-11 16:00:00,611
2010-05-11 17:00:00,605
2010-05-11 18:00:00,591
2010-05-11 19:00:00,570
2010-05-11 20:00:00,547
2010-05-11 21:00:00,533
2010-05-11 22:00:00,523
2010-05-11 23:00:00,513
2010-05-12 00:00:00,505
2010-05-12 01:00:00,497
2010-05-12 02:00:00,490
2010-05-12 03:00:00,484
2010-05-12 04:00:00,479
2010-05-12 05:00:00,477
2010-05-12 06:00:00,486
2010-05-12 07:00:00,500
2010-05-12 08:00:00,517
2010-05-12 09:00:00,536
2010-05-12 10:00:00,554
2010-05-12 11:00:00,570
2010-05-12 12:00:00,585
2010-05-12 13:00:00,598
2010-05-12 14:00:00,607
2010-05-12 15:00:00,611
2010-05-12 16:00:00,612
2010-05-12 17:00:00,606
2010-05-12 18:00:00,592
2010-05-12 19:00:00,572
2010-05-12 20:00:00,548
2010-05-12 21:00:00,535
2010-05-12 22:00:00,525
2010-05-12 23:00:00,515
2010-05-13 00:00:00,506
2010-05-13 01:00:00,498
2010-05-13 02:00:00,492
2010-05-13 03:00:00,486
2010-05-13 04:00:00,481
2010-05-13 05:00:00,479
2010-05-13 06:00:00,487
2010-05-13 07:00:00,502
2010-05-13 08:00:00,519
2010-05-13 09:00:00,537
2010-05-13 10:00:00,555
2010-05-13 11:00:00,571
2010-05-13 12:00:00,586
2010-05-13 13:00:00,599
2010-05-13 14:00:00,608
2010-05-13 15:00:00,613
2010-05-13 16:00:00,613
2010-05-13 17:00:00,607
2010-05-13 18:00:00,593
2010-05-13 19:00:00,573
2010-05-13 20:00:00,549
2010-05-13 21:00:00,536
2010-05-13 22:00:00,526
2010-05-13 23:00:00,516
2010-05-14 00:00:00,507
2010-05-14 01:00:00,499
2010-05-14 02:00:00,493
2010-05-14 03:00:00,487
2010-05-14 04:00:00,482
2010-05-14 05:00:00,479
2010-05-14 06:00:00,489
2010-05-14 07:00:00,503
2010-05-14 08:00:00,520
2010-05-14 09:00:00,538
2010-05-14 10:00:00,557
2010-05-14 11:00:00,573
2010-05-14 12:00:00,588
2010-05-14 13:00:00,601
2010-05-14 14:00:00,611
2010-05-14 15:00:00,615
2010-05-14 16:00:00,616
2010-05-14 17:00:00,609
2010-05-14 18:00:00,596
2010-05-14 19:00:00,576
2010-05-14 20:00:00,552
2010-05-14 21:00:00,538
2010-05-14 22:00:00,528
2010-05-14 23:00:00,518
2010-05-15 00:00:00,510
2010-05-15 01:00:00,502
2010-05-15 02:00:00,495
2010-05-15 03:00:00,489
2010-05-15 04:00:00,484
2010-05-15 05:00:00,481
2010-05-15 06:00:00,491
2010-05-15 07:00:00,505
2010-05-15 08:00:00,522
2010-05-15 09:00:00,540
2010-05-15 10:00:00,559
2010-05-15 11:00:00,576
2010-05-15 12:00:00,591
2010-05-15 13:00:00,604
2010-05-15 14:00:00,613
2010-05-15 15:00:00,617
2010-05-15 16:00:00,618
2010-05-15 17:00:00,611
2010-05-15 18:00:00,598
2010-05-15 19:00:00,578
2010-05-15 20:00:00,554
2010-05-15 21:00:00,541
2010-05-15 22:00:00,531
2010-05-15 23:00:00,521
2010-05-16 00:00:00,512
2010-05-16 01:00:00,504
2010-05-16 02:00:00,497
2010-05-16 03:00:00,491
2010-05-16 04:00:00,486
2010-05-16 05:00:00,484
2010-05-16 06:00:00,494
2010-05-16 07:00:00,508
2010-05-16 08:00:00,525
2010-05-16 09:00:00,543
2010-05-16 10:00:00,562
2010-05-16 11:00:00,579
2010-05-16 12:00:00,595
2010-05-16 13:00:00,608
2010-05-16 14:00:00,618
2010-05-16 15:00:00,622
2010-05-16 16:00:00,622
2010-05-16 17:00:00,615
2010-05-16 18:00:00,603
2010-05-16 19:00:00,583
2010-05-16 20:00:00,559
2010-05-16 21:00:00,545
2010-05-16 22:00:00,535
2010-05-16 23:00:00,525
2010-05-17 00:00:00,516
2010-05-17 01:00:00,507
2010-05-17 02:00:00,500
2010-05-17 03:00:00,494
2010-05-17 04:00:00,489
2010-05-17 05:00:00,487
2010-05-17 06:00:00,497
2010-05-17 07:00:00,512
2010-05-17 08:00:00,530
2010-05-17 09:00:00,548
2010-05-17 10:00:00,567
2010-05-17 11:00:00,584
2010-05-17 12:00:00,600
2010-05-17 13:00:00,614
2010-05-17 14:00:00,623
2010-05-17 15:00:00,627
2010-05-17 16:00:00,628
2010-05-17 17:00:00,621
2010-05-17 18:00:00,608
2010-05-17 19:00:00,588
2010-05-17 20:00:00,563
2010-05-17 21:00:00,549
2010-05-17 22:00:00,539
2010-05-17 23:00:00,529
2010-05-18 00:00:00,519
2010-05-18 01:00:00,510
2010-05-18 02:00:00,503
2010-05-18 03:00:00,497
2010-05-18 04:00:00,492
2010-05-18 05:00:00,490
2010-05-18 06:00:00,500
2010-05-18 07:00:00,515
2010-05-18 08:00:00,532
2010-05-18 09:00:00,551
2010-05-18 10:00:00,570
2010-05-18 11:00:00,587
2010-05-18 12:00:00,603
2010-05-18 13:00:00,617
2010-05-18 14:00:00,626
