date,datatype,station,attributes,value
2010-07-15T18:00:00,QPCP,COOP:010008,",,HT",7.62
2010-07-15T18:15:00,QGAG,COOP:010008,",,HT",111.25
2010-07-15T18:15:00,QPCP,COOP:010008,",,HT",2.54
2010-07-16T08:45:00,QGAG,COOP:010008,",,HT",111.25
2010-07-18T19:15:00,QGAG,COOP:010008,",,HT",111.51
2010-07-18T19:15:00,QPCP,COOP:010008,",,HT",2.54
2010-07-18T19:30:00,QGAG,COOP:010008,",,HT",111.76
2010-07-18T19:30:00,QPCP,COOP:010008,",,HT",2.54
2010-07-23T18:00:00,QGAG,COOP:010008,",,HT",112.27
2010-07-23T18:00:00,QPCP,COOP:010008,",,HT",5.08
2010-07-23T18:15:00,QGAG,COOP:010008,",,HT",113.03
2010-07-23T18:15:00,QPCP,COOP:010008,",,HT",7.62
2010-07-26T20:00:00,QGAG,COOP:010008,",,HT",113.28
2010-07-26T20:00:00,QPCP,COOP:010008,",,HT",2.54
2010-07-26T20:15:00,QGAG,COOP:010008,",,HT",113.54
2010-07-26T20:15:00,QPCP,COOP:010008,",,HT",2.54
2010-07-26T20:30:00,QGAG,COOP:010008,",,HT",113.79
2010-07-26T20:30:00,QPCP,COOP:010008,",,HT",2.54
2010-07-26T20:45:00,QGAG,COOP:010008,",,HT",114.05
2010-07-26T20:45:00,QPCP,COOP:010008,",,HT",2.54
2010-07-29T05:45:00,QGAG,COOP:010008,",,HT",114.05
2010-08-01T00:15:00,QGAG,COOP:010008,",,HT",114.05
2010-08-01T00:15:00,QPCP,COOP:010008,"g,,HT",0.0
2010-08-02T15:45:00,QGAG,COOP:010008,",,HT",114.3
2010-08-02T15:45:00,QPCP,COOP:010008,",,HT",2.54
2010-08-03T18:30:00,QGAG,COOP:010008,",,HT",114.3
2010-08-04T08:45:00,QGAG,COOP:010008,"N,,HT",104.14
2010-08-04T13:00:00,QGAG,COOP:010008,",,HT",104.9
2010-08-04T13:00:00,QPCP,COOP:010008,",,HT",7.62
2010-08-04T13:15:00,QGAG,COOP:010008,",,HT",105.16
2010-08-04T13:15:00,QPCP,COOP:010008,",,HT",2.54
2010-08-04T16:30:00,QGAG,COOP:010008,",,HT",105.41
2010-08-04T16:30:00,QPCP,COOP:010008,",,HT",2.54
2010-08-07T05:30:00,QGAG,COOP:010008,",,HT",105.66
2010-08-07T05:30:00,QPCP,COOP:010008,",,HT",2.54
2010-08-08T12:00:00,QGAG,COOP:010008,",,HT",106.43
2010-08-08T12:00:00,QPCP,COOP:010008,",,HT",7.62
2010-08-09T07:00:00,QGAG,COOP:010008,",,HT",106.68
2010-08-09T07:00:00,QPCP,COOP:010008,",,HT",2.54
2010-08-09T07:15:00,QGAG,COOP:010008,",,HT",106.93
2010-08-09T07:15:00,QPCP,COOP:010008,",,HT",2.54
2010-08-09T07:30:00,QGAG,COOP:010008,",,HT",107.19
2010-08-09T07:30:00,QPCP,COOP:010008,",,HT",2.54
2010-08-09T07:45:00,QGAG,COOP:010008,",,HT",107.44
2010-08-09T07:45:00,QPCP,COOP:010008,",,HT",2.54
2010-08-10T07:30:00,QGAG,COOP:010008,",,HT",107.7
2010-08-10T07:30:00,QPCP,COOP:010008,",,HT",2.54
2010-08-10T11:00:00,QGAG,COOP:010008,",,HT",108.2
2010-08-10T11:00:00,QPCP,COOP:010008,",,HT",5.08
2010-08-10T11:30:00,QGAG,COOP:010008,",,HT",108.46
2010-08-10T11:30:00,QPCP,COOP:010008,",,HT",2.54
2010-08-13T17:00:00,QGAG,COOP:010008,",,HT",108.71
2010-08-13T17:00:00,QPCP,COOP:010008,",,HT",2.54
2010-08-15T08:45:00,QGAG,COOP:010008,",,HT",108.97
2010-08-15T08:45:00,QPCP,COOP:010008,",,HT",2.54
2010-08-16T14:15:00,QGAG,COOP:010008,",,HT",109.22
2010-08-16T14:15:00,QPCP,COOP:010008,",,HT",2.54
2010-08-19T14:45:00,QGAG,COOP:010008,",,HT",109.22
2010-08-20T04:15:00,QGAG,COOP:010008,",,HT",109.22
2010-08-21T01:00:00,QGAG,COOP:010008,",,HT",109.22
2010-08-21T01:15:00,QGAG,COOP:010008,"{,,HT",25399.75
2010-08-21T01:15:00,QPCP,COOP:010008,"{,,HT",25399.75
